Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Train Epoch: 10 [45000/49000 (91%)]	Train Loss: 1.862197	Val Loss: 1.909331	Val Acc: 55
Train Epoch: 10 [48000/49000 (98%)]	Train Loss: 1.924587	Val Loss: 1.915943	Val Acc: 54
Train Epoch: 11 [0/49000 (0%)]	Train Loss: 1.870411	Val Loss: 1.916310	Val Acc: 54
Train Epoch: 11 [3000/49000 (6%)]	Train Loss: 1.881844	Val Loss: 1.919158	Val Acc: 54
Train Epoch: 11 [6000/49000 (12%)]	Train Loss: 1.876232	Val Loss: 1.929645	Val Acc: 52
Train Epoch: 11 [9000/49000 (18%)]	Train Loss: 1.850772	Val Loss: 1.900148	Val Acc: 56
Train Epoch: 11 [12000/49000 (24%)]	Train Loss: 1.885759	Val Loss: 1.916588	Val Acc: 54
Train Epoch: 11 [15000/49000 (30%)]	Train Loss: 1.859041	Val Loss: 1.913098	Val Acc: 55
Train Epoch: 11 [18000/49000 (37%)]	Train Loss: 1.901173	Val Loss: 1.918671	Val Acc: 53
Train Epoch: 11 [21000/49000 (43%)]	Train Loss: 1.878728	Val Loss: 1.916490	Val Acc: 53
Train Epoch: 11 [24000/49000 (49%)]	Train Loss: 1.880256	Val Loss: 1.926871	Val Acc: 52
Train Epoch: 11 [27000/49000 (55%)]	Train Loss: 1.902821	Val Loss: 1.909479	Val Acc: 54
Train Epoch: 11 [30000/49000 (61%)]	Train Loss: 1.875049	Val Loss: 1.910724	Val Acc: 55
Train Epoch: 11 [33000/49000 (67%)]	Train Loss: 1.868694	Val Loss: 1.913772	Val Acc: 54
Train Epoch: 11 [36000/49000 (73%)]	Train Loss: 1.889081	Val Loss: 1.913153	Val Acc: 54
Train Epoch: 11 [39000/49000 (79%)]	Train Loss: 1.879408	Val Loss: 1.913984	Val Acc: 54
Train Epoch: 11 [42000/49000 (85%)]	Train Loss: 1.813315	Val Loss: 1.913399	Val Acc: 54
Train Epoch: 11 [45000/49000 (91%)]	Train Loss: 1.868067	Val Loss: 1.916046	Val Acc: 54
Train Epoch: 11 [48000/49000 (98%)]	Train Loss: 1.899110	Val Loss: 1.917212	Val Acc: 54
Train Epoch: 12 [0/49000 (0%)]	Train Loss: 1.868896	Val Loss: 1.932212	Val Acc: 52
Train Epoch: 12 [3000/49000 (6%)]	Train Loss: 1.916136	Val Loss: 1.897151	Val Acc: 56
Train Epoch: 12 [6000/49000 (12%)]	Train Loss: 1.837011	Val Loss: 1.916661	Val Acc: 54
Train Epoch: 12 [9000/49000 (18%)]	Train Loss: 1.860370	Val Loss: 1.936281	Val Acc: 51
Train Epoch: 12 [12000/49000 (24%)]	Train Loss: 1.860548	Val Loss: 1.918603	Val Acc: 54
Train Epoch: 12 [15000/49000 (30%)]	Train Loss: 1.860198	Val Loss: 1.905383	Val Acc: 55
Train Epoch: 12 [18000/49000 (37%)]	Train Loss: 1.886014	Val Loss: 1.914378	Val Acc: 54
